Date,Scheme Name,Store Name,Item Name,Member Account Code,Invoice,Sales Qty,Sales Amt
5/12/2021,PLATINUM,TIFFANY - TTP,SS RED RTTMN2HRTPDT1618IN-63520594,60080458,000000P105000000002,1,5416000.00
5/12/2021,PLATINUM,TIFFANY - TTP,18R DI XMN HRT PDT-61101195,60082960,000000P105000000003,1,38813000.00
5/12/2021,PLATINUM,TIFFANY - TTP,SS MN RTT HRT4MM BD BLTSM-27631886,60082960,000000P105000000003,1,6229000.00
5/12/2021,PLATINUM,TIFFANY - TTP,18R DI LVGHRT WIRE BLT SM-60963673,27001049,000000P105000000004,1,46937000.00
5/12/2021,MEMBER,TIFFANY - TTP,18R T TRUE NRW RG 5 5-63065226,60083471,000000P105000000005,1,28884000.00
5/12/2021,MEMBER,TIFFANY - TTP,18R T TRUE NRW RG 7-63065285,60083471,000000P105000000005,1,28884000.00
5/12/2021,PLATINUM,TIFFANY - TTP,18W DI T WIRE BLT MD-33263473,60073222,000000P105000000006,1,114633000.00
5/13/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTMD-26659604,60084724,000000P105000000008,1,6229000.00
5/13/2021,MEMBER,TIFFANY - TTP,SS PK MNRTTHRT4MMBDBLTMD-30978811,60084724,000000P105000000008,1,6229000.00
5/16/2021,GOLD,TIFFANY - TTP,SS PK MNRT HRT 4MMBDBLTSM-30978838,MA002707,000000P105000000010,1,6229000.00
5/16/2021,MEMBER,TIFFANY - TTP,SS RD RTTMNHRT 4MMBDBLTMD-61941797,60084728,000000P105000000011,1,6229000.00
5/16/2021,GOLD,TIFFANY - TTP,SS PK MNRT HRT 4MMBDBLTSM-30978838,MA002707,000000P105000000012,-1,-6229000.00
5/16/2021,MEMBER,TIFFANY - TTP,SS RD RTTMNHRT 4MMBDBLTMD-61941797,60084728,000000P105000000014,-1,-6229000.00
5/14/2021,MEMBER,TIFFANY - TTP,SS BL MNRTTHRT 4MMBDBLTMD-26659604,60084727,000000P105000000016,1,6229000.00
5/14/2021,PLATINUM,TIFFANY - TTP,18R DI T WIRE RG 6 5-35007857,27001451,000000P105000000017,1,56865000.00
5/14/2021,PLATINUM,TIFFANY - TTP,18RDI SMRD PRCD ATL PDT16-30480554,27001451,000000P105000000017,1,27982000.00
5/14/2021,MEMBER,TIFFANY - TTP,18W DI TURQ T WIRE RG 5-64028103,60084728,000000P105000000018,1,63184000.00
5/15/2021,GOLD,TIFFANY - TTP,SS PK MNRT HRT 4MMBDBLTSM-30978838,MA002707,000000P105000000019,1,6229000.00
5/15/2021,MEMBER,TIFFANY - TTP,SS RD RTTMNHRT 4MMBDBLTMD-61941797,60084728,000000P105000000020,1,6229000.00
5/16/2021,PLATINUM,TIFFANY - TTP,18R T TWO CHN DBL BLT SM-62355417,60080904,000000P105000000021,1,26176000.00
5/16/2021,PLATINUM,TIFFANY - TTP,18R LG DI DAISY KEY-26887623,60074161,000000P105000000022,1,86652000.00
5/16/2021,PLATINUM,TIFFANY - TTP,18R PENDANT CHAIN 16IN-25508327,60074161,000000P105000000022,1,8666000.00
5/16/2021,PLATINUM,TIFFANY - TTP,CLRBLK PIGGYBANK ERTHNWRE-60559961,60074161,000000P105000000022,1,5958000.00
5/16/2021,MEMBER,TIFFANY - TTP,SS MN RTT HRT4MM BD BLTSM-27631886,60084725,000000P105000000023,1,6229000.00
5/16/2021,MEMBER,TIFFANY - TTP,SS MD PDT CHAIN 18IN-33484038,60084726,000000P105000000024,1,2618000.00
5/17/2021,PLATINUM,TIFFANY - TTP,18WDI T SMILE MN PDT1618-62617802,60089588,000000P105000000025,1,40618000.00
5/17/2021,PLATINUM,TIFFANY - TTP,18R HLFDI T1 NRWRG6 5-67795377,60073961,000000P105000000026,1,48742000.00
5/17/2021,MEMBER,TIFFANY - TTP,18R DI TCO 3MM RG 6-27897908,60084729,000000P105000000027,1,35203000.00
5/17/2021,MEMBER,TIFFANY - TTP,18R TCO 3MM RG 7-33026617,60084729,000000P105000000027,1,27982000.00
5/18/2021,MEMBER,TIFFANY - TTP,SS BL MN RTT 2HRT PDT 18-30210417,23000843,000000P105000000029,1,5416000.00
5/18/2021,PLATINUM,TIFFANY - TTP,18R DI SM HEART KEY-62859954,05002597,000000P105000000030,1,76723000.00
5/18/2021,PLATINUM,TIFFANY - TTP,18R PENDANT CHAIN 16IN-25508327,05002597,000000P105000000030,1,8666000.00
5/18/2021,PLATINUM,TIFFANY - TTP,SS HW MD 19MM WRAP NL36IN-62611928,05002597,000000P105000000030,1,80333000.00
5/18/2021,PLATINUM,TIFFANY - TTP,TTN BLK 1837 NRW RG 7 5-25923677,05002597,000000P105000000030,1,7402000.00
5/18/2021,PLATINUM,TIFFANY - TTP,TTN BLK 1837 NRW RG 7-25923669,05002597,000000P105000000030,1,7402000.00
5/18/2021,PLATINUM,TIFFANY - TTP,SS 1837 NRW BASC RG 5 5-22993763,99000488,000000P105000000031,1,6229000.00
5/19/2021,MEMBER,TIFFANY - TTP,SS 1837 NRRW CUFF MD-22992422,60084730,000000P105000000032,1,11554000.00
5/19/2021,MEMBER,TIFFANY - TTP,SS 1837 INTLK SM PDT 16IN-22992139,60084731,000000P105000000033,1,11464000.00
5/19/2021,MEMBER,TIFFANY - TTP,SS HPKMNRTTHRT4MMBDBLTXS-63686115,60084731,000000P105000000033,1,6229000.00
5/20/2021,MEMBER,TIFFANY - TTP,SS RED RTTMN2HRTPDT1618IN-63520594,60084732,000000P105000000034,1,5416000.00
5/20/2021,MEMBER,TIFFANY - TTP,18RSSRTTLADYBUGPDTADJ1618-67070526,60084734,000000P105000000037,1,37008000.00
5/22/2021,MEMBER,TIFFANY - TTP,18R T SMILE PDT LG 1618IN-33637152,60084737,000000P105000000038,1,36105000.00
5/22/2021,MEMBER,TIFFANY - TTP,18R DI MOP T WIRE RG 6-64027921,60084738,000000P105000000039,1,56865000.00
5/22/2021,MEMBER,TIFFANY - TTP,18R T SMILE SM BLT MD-36667281,60084736,000000P105000000040,1,26176000.00
5/22/2021,PLATINUM,TIFFANY - TTP,18R MOP T TWO CL ER-66886042,22000031,000000P105000000041,1,55060000.00
