"customerid","recency","frequency","monetary","rfm"
"867840",48,0.49,0,"341"
"571399",32,0.42,0,"341"
"550911",32,0.41,0,"341"
"282119",32,0.32,0,"341"
"306300",32,0.33,0,"341"
"355108",32,0.35,0,"341"
"401872",32,0.36,0,"341"
"411239",11,0.37,0,"441"
"434512",32,0.37,0,"341"
"1037486",63,0.27,0,"241"
"959957",6,0.26,0,"441"
"939081",9,0.26,0,"441"
"1008506",5,0.27,0,"441"
"1008306",13,0.27,0,"441"
"1001840",16,0.27,0,"441"
"1003380",32,0.27,0,"341"
"995756",93,0.27,0,"141"
"997336",63,0.27,0,"241"
"999890",63,0.27,0,"241"
"1024192",70,0.27,0,"241"
"1041412",77,0.27,0,"241"
"993713",78,0.27,0,"241"
"1001598",63,0.27,0,"241"
"1039378",93,0.27,0,"141"
"214484",32,0.31,0,"341"
"235758",32,0.31,0,"341"
"267349",32,0.32,0,"341"
"1044142",32,0.27,0,"341"
"1018452",38,0.27,0,"341"
"1000113",42,0.27,0,"341"
"1036806",46,0.27,0,"341"
"1022078",46,0.27,0,"341"
"1040767",48,0.27,0,"341"
"1028296",93,0.27,0,"141"
"975741",63,0.26,0,"241"
"938232",92,0.26,0,"241"
"927012",63,0.26,0,"241"
"937922",63,0.26,0,"241"
"982647",93,0.26,0,"141"
"916721",5,0.25,0,"431"
"869319",6,0.25,0,"431"
"854237",14,0.25,0,"431"
"882787",14,0.25,0,"431"
"875051",16,0.25,0,"431"
"913641",17,0.25,0,"431"
"890211",28,0.25,0,"431"
"985668",32,0.26,0,"341"
"970282",32,0.26,0,"341"
"970319",32,0.26,0,"341"
"977176",32,0.26,0,"341"
"855918",32,0.25,0,"331"
"928867",93,0.26,0,"141"
"953706",46,0.26,0,"341"
"955359",48,0.26,0,"341"
"282126",32,0.16,0,"311"
"282130",32,0.16,0,"311"
"282148",32,0.16,0,"311"
"243749",93,0.16,0,"111"
"250050",93,0.16,0,"111"
"264007",93,0.16,0,"111"
"264832",93,0.16,0,"111"
"264895",93,0.16,0,"111"
"264933",93,0.16,0,"111"
"302512",93,0.16,0,"111"
"302516",93,0.16,0,"111"
"302521",93,0.16,0,"111"
"302523",93,0.16,0,"111"
"156041",93,0.15,0,"111"
"180263",93,0.15,0,"111"
"232725",93,0.15,0,"111"
"232735",93,0.15,0,"111"
"199985",42,0.15,0,"311"
"231425",46,0.15,0,"311"
"170846",47,0.15,0,"311"
"256688",36,0.16,0,"311"
"268216",47,0.16,0,"311"
"240780",47,0.16,0,"311"
"271913",48,0.16,0,"311"
"234608",48,0.16,0,"311"
"276053",53,0.16,0,"311"
"237946",6,0.16,0,"411"
"275712",8,0.16,0,"411"
"260394",16,0.16,0,"411"
"294887",16,0.16,0,"411"
"277744",16,0.16,0,"411"
